id,text,product,issue
9988347,"On XX/XX/year> i was approved for a car loan with ally bank. My credit score is XXXX and for some reason my interest rate they charged me is 22 %. Im a young XXXX XXXX guy and i feel as though they have discriminated against me because of my XXXX. When i asked why my interest rate was so high, no one at ally bank could give me an answer.",Vehicle loan or lease,Managing the loan or lease
9988460,I ordered clothes online through my PayPal account which is debited from my checking account and I filed a case with PayPal on XX/XX/year>. They closed the case on XX/XX/year> in the Sellers favor after I submitted the necessary documents to show that I returned the merchandise and that they would not issue a refund after the merchandise was misrepresented.,Checking or savings account,Problem with a lender or other company charging your account
9904883,"I am being served by Mohela. Since their switch to a new website, I can't see ANY of the payments I have previously made- I am concerned they are stealing my payments and not putting them towards my loans since I am currently in school. Federal loan counseling states that any payments I make in school should count towards my loans but I can not see what I have already paid. I want to be removed from Mohela. I do not want them to service my loan. They should not be able to service loans. They are impossible to reach and do not provide enough information about the status of my loans.",Student loan,Dealing with your lender or servicer
9984066,"So I've been banking with ally for a year or two now no issues. Until I tried to send my boyfriend ( XXXX XXXX ) money for rent and such via XXXX from my spending to his 3rd party bank, XXXX XXXX. All the way up to the XXXX of XXXX I was charged XXXX transfers that were sent to my boyfriends account. He never received this money. I called ally to try and get this sorted and they closed my account "" temporarily '' Then yesterday ( XX/XX/XXXX ) XXXX gets charges from ally adding So of course I call and they tell me they terminated my account. I asked them where this money was going and they couldn't give me an answer.","Money transfer, virtual currency, or money service",Unauthorized transactions or other transaction problem
9993230,XXXX XXXX Had Already sent me a letter stating that this amount was not owed and had been removed from my Credit report. Radius Global Solutions continues to add this debt to my credit report and send me letters attempting to collect the amount listed on the letter. I currently do not bank with wells fargo. The amount Radius is trying to collect was in regards to overdraft fees which XXXX XXXX had already been court ordered to remove from any accounts. This is not the first time I report this business for the exact same thing.,Debt collection,Attempts to collect debt not owed
9994775,"XXXX XX/XX/XXXX : I contacted USAA to dispute their practice of burying a higher interest rate balance beneath a lower interest rate balance on my credit card in violation of the Credit Card Act of XXXX. USAA claims that because the balance was a cash advance, that they are not beholden to the rule of allowing consumers to pay off higher interest rate balances. USAA also opened a complaint for me XXXX.",Credit card,Fees or interest
9956463,"I had Well Fargo for Lender since XXXX till XXXX, they charge me for many things in my mortgage statement every month., recently the contact me they Well Fargo., the I was enrolled in product the I never authorized. I QUESTION THAT BEFORE BACK XXXX, Because I know some tings was wrong was stress, frustration single mom trying every month to make this payment., CUSTOMER SERVICE WAS NOT NICE TO ANWSWER ANY QUESTIONS.",Mortgage,Trouble during payment process
9999476,My credit reports are inaccurate. These inaccuracies are causing creditors to deny me credit. You have the duty to report accurate information about consumers. Please investigate these accounts and inquires and update these accounts accordingly to avoid future litigation.,Credit reporting or other personal consumer reports,Incorrect information on your report
9994553,On XX/XX/year> this truck was only XXXX at first site I paid over XXXX down payment which is against consumer transaction law code truth in lending act they went against 15 c Us 1662B there isnt or wasnt supposed to be no down payment no cash involved in a consumer transaction. THEY ALSO REPO THE CAR AFTER I GOT IN A BAC ACCIDENT THEY TOOK THE CAR WITH ALL MY PERSONAL ITEMS IN IT AN NEVER REACHED OUT TO RETURN IT PLUS THEY SOLD THE DEBT TO A LAWYER THAT CALLLED ME ASKING FOR A LOWER PRICE AND THEY WILL REMOVE THE FULL BALANCE THIS IS ALL FRAUD XXXX THEY PASSING MY INFORMATION AROUND WITH OUT MY PERMISSION,Vehicle loan or lease,Repossession
9984073,"I tried to open account to put my school money into but a few banks denied because they said XXXX XXXX XXXX told no, they said I had a account when I was to young to have a account and its affecting me",Checking or savings account,Opening an account
